208	0547	白腰雨燕	Apus	pacificus	Pacific	Swift	LC	-	C
209	0551	小白腰雨燕	Apus	nipalensis	House	Swift	LC	-	A
灰喉针尾雨燕
咬鹃目	咬鹃科	TROGONIFORMES	Trogonidae
210	0553	红头咬鹃	Harpactes	erythrocephalus	Red-headed	Trogon	LC	二级	C
佛法僧目	佛法僧科	CORACIIFORMES	Coraciidae
211	0557	三宝鸟	Eurystomus	orientalis	Oriental	Dollarbird	LC	-	A
佛法僧目	翠鸟科	CORACIIFORMES	Alcedinidae
212	0559	赤翡翠	Halcyon	coromanda	Ruddy	Kingfisher	LC	-	C
213	0560	白胸翡翠	Halcyon	smyrnensis	White-throated	Kingfisher	LC	二级	A
214	0561	蓝翡翠	Halcyon	pileata	Black-capped	Kingfisher	VU	-	C
215	0564	普通翠鸟	Alcedo	atthis	Common	Kingfisher	LC	-	A
216	0568	斑鱼狗	Ceryle	rudis	Pied	Kingfisher	LC	-	A
佛法僧目	蜂虎科	CORACIIFORMES	Meropidae
217	0572	栗喉蜂虎	Merops	philippinus	Blue-tailed	Bee-eater	LC	二级	A
218	0574	蓝喉蜂虎	Merops	viridis	Blue-throated	Bee-eater	LC	二级	C
犀鸟目	戴胜科	BUCEROTIFORMES	Upupidae
219	0577	戴胜	Upupa	epops	Common	Hoopoe	LC	-	B
䴕形目	拟啄木鸟科	PICIFORMES	Megalaimidae
220	0583	大拟啄木鸟	Psilopogon	virens	Great	Barbet	LC	-	A
221	0587	黑眉拟啄木鸟	Psilopogon	faber	Chinese	Barbet	LC	-	C
䴕形目	啄木鸟科	PICIFORMES	Picidae
222	0593	蚁䴕	Jynx	torquilla	Eurasian	Wryneck	LC	-	B
223	0594	斑姬啄木鸟	Picumnus	innominatus	Speckled	Piculet	LC	-	A
224	0602	棕腹啄木鸟	Dendrocopos	hyperythrus	Rufous-bellied	Woodpecker	LC	-	C
225	0617	灰头绿啄木鸟	Picus	canus	Grey-headed	Woodpecker	LC	-	C
226	0621	黄嘴栗啄木鸟	Blythipicus	pyrrhotis	Bay	Woodpecker	LC	-	B
227	0622	栗啄木鸟	Micropternus	brachyurus	Rufous	Woodpecker	LC	-	B
隼形目	隼科	FALCONIFORMES	Falconidae
228	0627	红隼	Falco	tinnunculus	Common	Kestrel	LC	二级	A
229	0629	红脚隼	Falco	amurensis	Amur	Falcon	LC	二级	C
230	0631	燕隼	Falco	subbuteo	Eurasian	Hobby	LC	二级	C
231	0635	游隼	Falco	peregrinus	Peregrine	Falcon	LC	二级	B
雀形目	八色鸫科	PASSERIFORMES	Pittidae
232	0653	仙八色鸫	Pitta	nympha	Fairy	Pitta	VU	二级	C
雀形目	钩嘴鵙科	PASSERIFORMES	Vangidae
233	0656	钩嘴林鵙	Tephrodornis	virgatus	Large	Woodshrike	LC	-	C
雀形目	鹃鵙科	PASSERIFORMES	Campephagidae
234	0660	灰喉山椒鸟	Pericrocotus	solaris	Grey-chinned	Minivet	LC	-	A
235	0663	赤红山椒鸟	Pericrocotus	speciosus	Scarlet	Minivet	LC	-	A
236	0664	灰山椒鸟	Pericrocotus	divaricatus	Ashy	Minivet	LC	-	C
237	0665	琉球山椒鸟	Pericrocotus	tegimae	Ryukyu	Minivet	LC	-	C
238	0666	小灰山椒鸟	Pericrocotus	cantonensis	Swinhoe's	Minivet	LC	-	C
239	0668	大鹃鵙	Coracina	macei	Large	Cuckooshrike	LC	-	C
240	0670	暗灰鹃鵙	Lalage	melaschistos	Black-winged	Cuckooshrike	LC	-	B
雀形目	伯劳科	PASSERIFORMES	Laniidae
241	0671	虎纹伯劳	Lanius	tigrinus	Tiger	Shrike	LC	-	C
242	0672	牛头伯劳	Lanius	bucephalus	Bull-headed	Shrike	LC	-	B
243	0673	红尾伯劳	Lanius	cristatus	Brown	Shrike	LC	-	A
244	0679	棕背伯劳	Lanius	schach	Long-tailed	Shrike	LC	-	A
245	0685	楔尾伯劳	Lanius	sphenocercus	Chinese	Grey	Shrike	LC	-	C
雀形目	莺雀科	PASSERIFORMES	Vireonidae
246	0691	白腹凤鹛	Erpornis	zantholeuca	White-bellied	Erpornis	LC	-	A
雀形目	黄鹂科	PASSERIFORMES	Oriolidae
247	0697	黑枕黄鹂	Oriolus	chinensis	Black-naped	Oriole	LC	-	B
雀形目	卷尾科	PASSERIFORMES	Dicruridae
248	0703	发冠卷尾	Dicrurus	hottentottus	Hair-crested	Drongo	LC	-	B
249	0704	灰卷尾	Dicrurus	leucophaeus	Ashy	Drongo	LC	-	B
250	0705	黑卷尾	Dicrurus	macrocercus	Black	Drongo	LC	-	A
雀形目	王鹟科	PASSERIFORMES	Monarchidae
251	0709	黑枕王鹟	Hypothymis	azurea	Black-naped	Monarch	LC	-	B
252	0712	寿带	Terpsiphone	incei	Amur	Paradise	Flycatcher	LC	-	C
253	0713	紫寿带	Terpsiphone	atrocaudata	Japanese	Paradise-flycatcher	NT	-	B
雀形目	鸦科	PASSERIFORMES	Corvidae
254	0716	松鸦	Garrulus	glandarius	Eurasian	Jay	LC	-	B
255	0717	灰喜鹊	Cyanopica	cyanus	Azure-winged	Magpie	LC	-	A
256	0720	红嘴蓝鹊	Urocissa	erythroryncha	Red-billed	Blue	Magpie	LC	-	A
257	0725	灰树鹊	Dendrocitta	formosae	Grey	Treepie	LC	-	A
258	0730	喜鹊	Pica	serica	Oriental	Magpie	LC	-	A
259	0741	小嘴乌鸦	Corvus	corone	Carrion	Crow	LC	-	C
260	0743	白颈鸦	Corvus	torquatus	Collared	Crow	VU	-	B
261	0744	大嘴乌鸦	Corvus	macrorhynchos	Large-billed	Crow	LC	-	D
雀形目	仙莺科	PASSERIFORMES	Stenostiridae
262	0750	方尾鹟	Culicicapa	ceylonensis	Grey-headed	Canary	Flycatcher	LC	-	C
雀形目	山雀科	PASSERIFORMES	Paridae
263	0757	黄腹山雀	Pardaliparus	venustulus	Yellow-bellied	Tit	LC	-	C
264	0770	大山雀	Parus	minor	Japanese	Tit	NR	-	A
265	0775	黄颊山雀	Machlolophus	spilonotus	Yellow-cheeked	Tit	LC	-	B
雀形目	攀雀科	PASSERIFORMES	Remizidae
266	0777	中华攀雀	Remiz	consobrinus	Chinese	Penduline	Tit	LC	-	B
雀形目	百灵科	PASSERIFORMES	Alaudidae
267	0781	小云雀	Alauda	gulgula	Oriental	Skylark	LC	-	A
268	0782	云雀	Alauda	arvensis	Eurasian	Skylark	LC	二级	B
雀形目	鹎科	PASSERIFORMES	Pycnonotidae
269	0801	栗背短脚鹎	Hemixos	castanonotus	Chestnut	Bulbul	LC	-	A
270	0802	绿翅短脚鹎	Ixos	mcclellandii	Mountain	Bulbul	LC	-	A
271	0803	栗耳短脚鹎	Hypsipetes	amaurotis	Brown-eared	Bulbul	LC	-	C
272	0804	黑短脚鹎	Hypsipetes	leucocephalus	Black	Bulbul	LC	-	A
273	0808	领雀嘴鹎	Spizixos	semitorques	Collared	Finchbill	LC	-	B
274	0812	白头鹎	Pycnonotus	sinensis	Light-vented	Bulbul	LC	-	A
275	0814	红耳鹎	Pycnonotus	jocosus	Red-whiskered	Bulbul	LC	-	A
276	0817	白喉红臀鹎	Pycnonotus	aurigaster	Sooty-headed	Bulbul	LC	-	A
雀形目	燕科	PASSERIFORMES	Hirundinidae
277	0820	淡色沙燕	Riparia	diluta	Pale	Martin	LC	-	C
278	0826	家燕	Hirundo	rustica	Barn	Swallow	LC	-	A
279	0828	白腹毛脚燕	Delichon	lagopodum	Siberian	House	Martin	LC	-	C
280	0829	烟腹毛脚燕	Delichon	dasypus	Asian	House	Martin	LC	-	B
281	0831	金腰燕	Cecropis	daurica	Red-rumped	Swallow	LC	-	A
雀形目	鳞胸鹪鹛科	PASSERIFORMES	Pnoepygidae
282	0837	小鳞胸鹪鹛	Pnoepyga	pusilla	Pygmy	Cupwing	LC	-	B
雀形目	树莺科	PASSERIFORMES	Cettiidae
283	0839	棕脸鹟莺	Abroscopus	albogularis	Rufous-faced	Warbler	LC	-	C
284	0841	金头拟缝叶莺	Phyllergates	cucullatus	Mountain	Tailorbird	LC	-	C
285	0843	日本树莺	Horornis	diphone	Japanese	Bush	Warbler	LC	-	D
286	0844	远东树莺	Horornis	canturians	Manchurian	Bush	Warbler	LC	-	B
287	0845	强脚树莺	Horornis	fortipes	Brownish-flanked	Bush	Warbler	LC	-	A
288	0855	鳞头树莺	Urosphena	squameiceps	Asian	Stubtail	LC	-	C
雀形目	长尾山雀科	PASSERIFORMES	Aegithalidae
