中文名	拉丁名	英文名	记录次数	定点记	随手记
条纹噪鹛	Grammatoptila striata	Striated Laughingthrush	2	2	0
矛纹草鹛	Pterorhinus lanceolatus	Chinese Babax	1	1	0
蓝翅噪鹛	Trochalopteron squamatum	Blue-winged Laughingthrush	2	1	1
红尾噪鹛	Trochalopteron milnei	Red-tailed Laughingthrush	1	1	0
灰胁噪鹛	Pterorhinus caerulatus	Grey-sided Laughingthrush	2	2	0
黑顶噪鹛	Trochalopteron affine	Black-faced Laughingthrush	3	2	1
灰腹噪鹛	Trochalopteron henrici	Brown-cheeked Laughingthrush	3	3	0
橙翅噪鹛	Trochalopteron elliotii	Elliot's Laughingthrush	1	1	0
红头噪鹛	Trochalopteron erythrocephalum	Chestnut-crowned Laughingthrush	2	2	0
栗额斑翅鹛	Actinodura egertoni	Rusty-fronted Barwing	1	1	0
火尾希鹛	Minla ignotincta	Red-tailed Minla	3	2	1
蓝翅希鹛	Actinodura cyanouroptera	Blue-winged Minla	5	5	0
纹胸斑翅鹛	Actinodura waldeni	Streak-throated Barwing	2	1	1
绒额䴓	Sitta frontalis	Velvet-fronted Nuthatch	1	1	0
银耳相思鸟	Leiothrix argentauris	Silver-eared Mesia	2	2	0
栗背奇鹛	Leioptila annectens	Rufous-backed Sibia	2	2	0
丽色奇鹛	Heterophasia pulchella	Beautiful Sibia	4	3	1
普通䴓	Sitta europaea	Eurasian Nuthatch	1	1	0
栗臀䴓	Sitta nagaensis	Chestnut-vented Nuthatch	3	3	0
白尾䴓	Sitta himalayensis	White-tailed Nuthatch	1	1	0
红嘴相思鸟	Leiothrix lutea	Red-billed Leiothrix	4	4	0
霍氏旋木雀	Certhia hodgsoni	Hodgson's Treecreeper	2	2	0
四川旋木雀	Certhia tianquanensis	Sichuan Treecreeper	1	1	0
黑领椋鸟	Gracupica nigricollis	Black-collared Starling	78	73	1
淡紫䴓	Sitta solangiae	Yellow-billed Nuthatch	1	1	0
丽䴓	Sitta formosa	Beautiful Nuthatch	1	0	1
红翅旋壁雀	Tichodroma muraria	Wallcreeper	1	0	1
鹪鹩	Troglodytes troglodytes	Eurasian Wren	4	4	0
褐河乌	Cinclus pallasii	Brown Dipper	1	1	0
家八哥	Acridotheres tristis	Common Myna	5	5	0
丝光椋鸟	Spodiopsar sericeus	Red-billed Starling	12	12	0
