	0222#	Apus nipalensis	小白腰雨燕	House Swift	LC	-
45	咬鹃目	TROGONIFORMES	咬鹃科	Trogonidae (1:3)		
	0165#	Harpactes erythrocephalus	红头咬鹃	Red-headed Trogon	LC	-
	佛法僧目	CORACIIFORMES	佛法僧科	Coraciidae (2:3)		
	0169#	Eurystomus orientalis	三宝鸟	Oriental Dollarbird	LC	-
	佛法僧目	CORACIIFORMES	翠鸟科	Alcedinidae (7:11)		
	0176#	Halcyon smyrnensis	白胸翡翠	White-throated Kingfisher	LC	-
	0177#	Halcyon pileata	蓝翡翠	Black-capped Kingfisher	LC	-
	0171#	Alcedo atthis	普通翠鸟	Common Kingfisher	LC	-
	佛法僧目	CORACIIFORMES	蜂虎科	Meropidae (2:8)		
	0181#	Nyctyornis athertoni	蓝须夜蜂虎	Blue-bearded Bee-eater	LC	-
	犀鸟目	BUCEROTIFORMES	戴胜科	Upupidae (1:1)		
	0163#	Upupa epops	戴胜	Common Hoopoe	LC	-
	犀鸟目	BUCEROTIFORMES	犀鸟科	Bucerotidae (5:5)		
	0158#	Anthracoceros albirostris	冠斑犀鸟	Oriental Pied Hornbill	LC	Ⅱ
	䴕形目	PICIFORMES	拟啄木鸟科	Megalaimidae (1:9)		
	0150#	Psilopogon virens	大拟啄木鸟	Great Barbet	LC	-
	0153#	Psilopogon franklinii	金喉拟啄木鸟	Golden-throated Barbet	LC	-
	0155#	Psilopogon asiaticus	蓝喉拟啄木鸟	Blue-throated Barbet	LC	-
	䴕形目	PICIFORMES	啄木鸟科	Picidae (17:31)		
	0119#	Jynx torquilla	蚁䴕	Eurasian Wryneck	LC	-
	0120#	Picumnus innominatus	斑姬啄木鸟	Speckled Piculet	LC	-
	0121#	Sasia ochracea	白眉棕啄木鸟	White-browed Piculet	LC	-
	0122#	Yungipicus canicapillus	星头啄木鸟	Grey-capped Pygmy Woodpecker	LC	-
	0131#	Dendrocopos major	大斑啄木鸟	Great Spotted Woodpecker	LC	-
	0148#	Blythipicus pyrrhotis	黄嘴栗啄木鸟	Bay Woodpecker	LC	-
	0138#	Chrysophlegma flavinucha	大黄冠啄木鸟	Greater Yellownape	LC	-
	隼形目	FALCONIFORMES	隼科	Falconidae (2:12)		
	0508#	Falco tinnunculus	红隼	Common Kestrel	LC	Ⅱ
	0510#	Falco amurensis	红脚隼	Amur Falcon	LC	Ⅱ
	0512#	Falco subbuteo	燕隼	Eurasian Hobby	LC	Ⅱ
	0516#	Falco peregrinus	游隼	Peregrine Falcon	LC	Ⅱ
	鹦形目	PSITTACIFORMES	鹦鹉科	Psittacidae (3:9)		
	0209#	Psittacula finschii	灰头鹦鹉	Grey-headed Parakeet	NT	Ⅱ
	雀形目	PASSERIFORMES	阔嘴鸟科	Eurylaimidae (2:2)		
	0605#	Psarisomus dalhousiae	长尾阔嘴鸟	Long-tailed Broadbill	LC	Ⅱ
	雀形目	PASSERIFORMES	八色鸫科	Pittidae (2:8)		
	0598#	Hydrornis soror	蓝背八色鸫	Blue-rumped Pitta	LC	Ⅱ
	雀形目	PASSERIFORMES	钩嘴鵙科	Vangidae (2:2)		
	0668#	Hemipus picatus	褐背鹟鵙	Bar-winged Flycatcher-shrike	LC	-
	0684#	Tephrodornis virgatus	钩嘴林鵙	Large Woodshrike	LC	-
	雀形目	PASSERIFORMES	燕鵙科	Artamidae (1:1)		
	0652#	Artamus fuscus	灰燕鵙	Ashy Woodswallow	LC	-
	雀形目	PASSERIFORMES	鹃鵙科	Campephagidae (3:11)		
	0664#	Pericrocotus solaris	灰喉山椒鸟	Grey-chinned Minivet	LC	-
	0666#	Pericrocotus brevirostris	短嘴山椒鸟	Short-billed Minivet	LC	-
	0665#	Pericrocotus ethologus	长尾山椒鸟	Long-tailed Minivet	LC	-
	0667#	Pericrocotus speciosus	赤红山椒鸟	Scarlet Minivet	LC	-
	0663#	Pericrocotus divaricatus	灰山椒鸟	Ashy Minivet	LC	-
	0662#	Pericrocotus cantonensis	小灰山椒鸟	Swinhoe's Minivet	LC	-
	0661#	Pericrocotus roseus	粉红山椒鸟	Rosy Minivet	LC	-
	0659#	Coracina macei	大鹃鵙	Large Cuckooshrike	LC	-
	0660#	Lalage melaschistos	暗灰鹃鵙	Black-winged Cuckooshrike	LC	-
	雀形目	PASSERIFORMES	伯劳科	Laniidae (1:14)		
	0610#	Lanius tigrinus	虎纹伯劳	Tiger Shrike	LC	-
	0614#	Lanius cristatus	红尾伯劳	Brown Shrike	LC	-
	0615#	Lanius collurioides	栗背伯劳	Burmese Shrike	LC	-
	0616#	Lanius schach	棕背伯劳	Long-tailed Shrike	LC	-
	0617#	Lanius tephronotus	灰背伯劳	Grey-backed Shrike	LC	-
	雀形目	PASSERIFORMES	莺雀科	Vireonidae (2:6)		
	1135#	Erpornis zantholeuca	白腹凤鹛	White-bellied Erpornis	LC	-
	1091#	Pteruthius aeralatus	红翅鵙鹛	Blyth's Shrike Babbler	LC	-
	1093#	Pteruthius melanotis	栗喉鵙鹛	Black-eared Shrike Babbler	LC	-
